"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"13507373000103","QUADRA 12 CONJUNTO B sn","sn","CASA 03","PARANOA","9701","DF","71571202"
"13517067000140","QUADRA 1 CONJUNTO J 21","21","LOTE 21","SETOR RESIDENCIAL LESTE (PLANALTINA)","9701","DF","73350110"
"33434638000190","20 (POLO DE MODAS) SN","SN","LOTE 33-35;QUADRA QE 40","GUARA II","9701","DF","71070520"
"13587972000176","QNM 5 CONJUNTO H 48","48","LOJA 04","CEILANDIA SUL (CEILANDIA)","9701","DF","72215058"
"13618047000165","QE 30 CONJUNTO K 41","41","","GUARA II","9701","DF","71065110"
"13623618000150","CSE 1 01","01","LOTE ;LOJA 01","TAGUATINGA SUL (TAGUATINGA)","9701","DF","72025015"
"13632363000191","QUADRA 2 01","01","LOJA 01","VEREDAS (BRAZLANDIA)","9701","DF","72725200"
"33435627000124","NOSSA SENHORA DE FATIMA 02","02","QUADRA e;CONJ e4","VILA NOSSA SENHORA DE FATIMA (PLANALTINA)","9701","DF","73340710"
"13656094000101","DE CHACARAS TRECHO 03 CHACARA 119 119","119","CONJ F;CASA 14","SETOR DE HABITACOES INDIVIDUAIS NORTE","9701","DF","71536164"
"13663385000119","QNN 11 404","404","LOTE 22 B;APT","CEILANDIA NORTE (CEILANDIA)","9701","DF","72225110"
"13672182000199","QUADRA 15 CONJUNTO A 1B","1B","APT","SOBRADINHO","9701","DF","73045151"
"33436126000162","CSE 3 03","03","LOTE D;LOJA 01","TAGUATINGA SUL (TAGUATINGA)","9701","DF","72025035"
"13676734000137","EUGENIO JARDIM (QUADRAS 26,32,33,34,35 E 36) LT11","LT11","","SETOR TRADICIONAL (PLANALTINA)","9701","DF","73330073"
"13695388000134","SIA TRECHO 7 LOTE UNICO 100","100","CONJ E;LOJA 143","ZONA INDUSTRIAL (GUARA)","9701","DF","71208900"
"13701129000179","QUADRA 1 CONJUNTO C 0","0","CASA 37","ITAPOA I","9701","DF","71590209"
"13706278000120","QNP 5 CONJUNTO J 18","18","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72240410"
"33436780000176","CLN 411 BLOCO C 52","52","LOJA","ASA NORTE","9701","DF","70866530"
"13720656000120","SCEN TRECHO 3 CONJUNTO 03","03","      PARTE                     SAUNA","ASA NORTE","9701","DF","70800130"
"13722600000105","CLS 103 BLOCO C LJ 12","LJ 12","","ASA SUL","9701","DF","70342530"
"33437562000156","QNA 48 Lote 2","Lote 2","","TAGUATINGA NORTE (TAGUATINGA)","9701","DF","72110480"
"13758119000170","QNN 23 CONJUNTO G CS 47","CS 47","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72225237"
"13775909000163","QR 508 CONJUNTO 1 1","1","LOTE 43","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72312301"
"13780827000107","VERSALES CONJUNTO B 01","01","LOTE","SETOR HABITACIONAL CONTAGEM (SOBRADINHO)","9701","DF","73090155"
"33438824000105","QUADRA 15 SN","SN","LOJA 14","SETOR LESTE (GAMA)","9701","DF","72450150"
"13814784000133","QI 06 CONJUNTO Z LOTE 03 LOJA 01 S/N","S/N","","GUARA I","9701","DF","71010254"
"13815314000194","QN 7D CONJUNTO 3 04","04","CASA ;LOJA 01","RIACHO FUNDO II","9701","DF","71880043"
"13832970000103","QI 33 BLOCO A LOJA 18","18","","GUARA II","9701","DF","71065330"
"13846930000102","ESTRUTURAL 01","01","QUADRA 05;CONJ B;LOTE 01;LOJA 3","VILA ESTRUTURAL (GUARA)","9701","DF","71300000"
"13854438000189","QUADRA 116 CONJUNTO 4 10","10","","RECANTO DAS EMAS","9701","DF","72603404"
"57247362000107","QI 6 CONJUNTO U 35","35","","GUARA I","9701","DF","71010214"
"13865471000104","QR 407 CONJUNTO 2 24","24","CASA 24","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72321002"
"13877276000102","QNR 3 CONJUNTO C 15","15","LOTE","CEILANDIA NORTE (CEILANDIA)","9701","DF","72275356"
"13879215000176","QR 829 CONJUNTO 6 15","15","LOTE 15","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72338666"
"13879321000150","QNO 1 CONJUNTO A 24","24","CASA 24","CEILANDIA NORTE (CEILANDIA)","9701","DF","72250101"
"33442663000115","EQS 515/516 Sobre","Sobre","CONJ Loja 25","ASA SUL","9701","DF","70381570"
"13892869000130","QN 5 CONJUNTO 5 1","1","LOTE 1;LOJA 104","RIACHO FUNDO I","9701","DF","71805405"
"13893213000131","QUADRA 02 CONJUNTO 2-G LOTE 01 LOJA 02","02","      SRNA","PLANALTINA","9701","DF","73340207"
"13900018000191","QUADRA 801 CONJUNTO 17 cs 07","cs 07","","RECANTO DAS EMAS","9701","DF","72650090"
"13902413000103","QNN 9 CONJUNTO E 0","0","CASA 2","CEILANDIA NORTE (CEILANDIA)","9701","DF","72225095"
"13915217000173","CNB 13 LOTE 08 BLOCO B LOJA 01","01","      TERREO","TAGUATINGA NORTE","9701","DF","72115135"
"13917269000189","QNO 3 CONJUNTO K 3","3","CASA 21","CEILANDIA NORTE (CEILANDIA)","9701","DF","72250311"
"13919516000186","QNO 5 CONJUNTO J 5","5","LOTE 56;LOJA 1","CEILANDIA NORTE (CEILANDIA)","9701","DF","72251010"
"13932879000151","QR 407 CONJUNTO 9 LT 35","LT 35","","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72321009"
"97531032000155","QNN 22 CONJUNTO E LT 56","LT 56","","CEILANDIA SUL (CEILANDIA)","9701","DF","72220225"
"33444565000117","CLS 203 BLOCO D 13","13","BLOCO D","ASA SUL","9701","DF","70233540"
"13957740000162","BR-280 13","13","COND SHAQ;QUADRA 10","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72317750"
"13957467000176","QUADRA 15 1706","1706","","SOBRADINHO","9701","DF","73045150"
"13978027000103","QS 4 CONJUNTO 2 sn","sn","LOTE 17;LOJA 01","RIACHO FUNDO I","9701","DF","71820402"
"13974409000150","AR 8 CONJUNTO 3 23 A","23 A","LOJA 23 A","SETOR OESTE (SOBRADINHO II)","9701","DF","73060803"
"14002237000116","QNM 8 CONJUNTO F 13","13","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72210086"
"33446195000157","QUADRA 3 01","01","LOTE 107","SETOR OESTE (GAMA)","9701","DF","72425030"
"14056905000198","SEUPS EQ 710/910 CONJUNTO A S/N","S/N","SALA  404","ASA SUL","9701","DF","70390108"
"14058642000156","QNP 13 CONJUNTO R SN","SN","LOTE 50;LOJA 01","CEILANDIA NORTE (CEILANDIA)","9701","DF","72241318"
"14065410000125","QNN 18 CONJUNTO B CS 20","CS 20","","CEILANDIA SUL (CEILANDIA)","9701","DF","72220182"
"14073634000189","CLN 204 BLOCO B sn","sn","SLJ 16","ASA NORTE","9701","DF","70842520"
"14075515000165","QNM 6 CONJUNTO A 27","27","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72210061"
